"Index", "Percent", "Num Passed", "Num Skipped", "Num Failed", "Confidence Level", "01. Monobit Test", "02. Block Frequency Test", "03. Independent Runs Test", "04. Longest Runs Test", "05. Matrix Rank Test", "06. Spectral Test", "07. Non Overlapping Patterns Test", "08. Overlapping Patterns Test", "09. Universal Test", "10. Linear Complexity Test", "11. Serial Test (p01)", "11. Serial Test (p02)", "12. Approximate Entropy Test", "13. Cumulative Sums Test (Forward)", "13. Cumulative Sums Test (Backward)", "14. Random Excursions Test (p01)", "14. Random Excursions Test (p02)", "14. Random Excursions Test (p03)", "14. Random Excursions Test (p04)", "14. Random Excursions Test (p05)", "14. Random Excursions Test (p06)", "14. Random Excursions Test (p07)", "14. Random Excursions Test (p08)", "15. Random Excursions Variant Test (p01)", "15. Random Excursions Variant Test (p02)", "15. Random Excursions Variant Test (p03)", "15. Random Excursions Variant Test (p04)", "15. Random Excursions Variant Test (p05)", "15. Random Excursions Variant Test (p06)", "15. Random Excursions Variant Test (p07)", "15. Random Excursions Variant Test (p08)", "15. Random Excursions Variant Test (p09)", "15. Random Excursions Variant Test (p10)", "15. Random Excursions Variant Test (p11)", "15. Random Excursions Variant Test (p12)", "15. Random Excursions Variant Test (p13)", "15. Random Excursions Variant Test (p14)", "15. Random Excursions Variant Test (p15)", "15. Random Excursions Variant Test (p16)", "15. Random Excursions Variant Test (p17)", "15. Random Excursions Variant Test (p18)", "File", "Source IP", "Dest IP", "Data Len", "Data"
1853, 0.675, 27, 1, 13, 0.005, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04335, -1.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.85145, 0.03976, 0.69999, 0.35795, 0.77650, 0.69999, 0.97703, 0.98927, 0.79699, 0.78419, 1.00000, 0.91511, 0.72367, 0.59298, 0.87437, 0.54029, 0.72367, 0.47950, 0.54029, 0.52709, 0.59298, 0.63735, 0.66982, 0.69489, 0.71500, 0.73160, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.187", "10.4.64.69",1472,"b'\\\x05\x91]\x80\x10\x00\x06\x01\x9f\x00\x00\x01\x01\x08\n\x15\xb4\xe4T\x00\x80\x8a\xe3a`aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaAaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa!aaaaaaqaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaiaaaaaaaaaaaaaaaaaaa'"
20584, 0.675, 27, 1, 13, 0.005, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04335, -1.00000, 0.00000, 0.00000, 0.00000, 0.00000, 1.00000, 1.00000, 0.00326, 0.23217, 0.00032, 0.10906, 0.69999, 0.78151, 0.96257, 0.98218, 0.75901, 0.74397, 0.72572, 0.70292, 0.67329, 0.90486, 0.88754, 0.58388, 0.20590, 0.34278, 0.46521, 0.47950, 0.55010, 0.59816, 0.63355, 0.66100, 0.68309, 0.70136, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.187", "10.4.64.69",1472,"b'p\xacq\x8a\x80\x10\x00\x06\x89&\x00\x00\x01\x01\x08\n\x15\xb5\xbb\x06\x00\x80\xe0\xbfa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x14\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\xa6\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04aaaa\x04\x04a'"
36123, 0.775, 31, 1, 9, 0.005, 0.00713, 0.81510, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04335, -1.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.01387, 0.01108, 0.28374, 0.27512, 0.66956, 0.41588, 0.76811, 0.60202, 0.38114, 0.08289, 0.64743, 0.62635, 0.60099, 0.56967, 0.52965, 0.47603, 0.52709, 0.49624, 0.63735, 0.34578, 0.41422, 0.52709, 0.65601, 0.63735, 0.61886, 0.64724, 0.67010, 0.64743, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.187", "10.4.64.69",1472,"b'\x85\xd6w\x9f\x80\x10\x00\x06\xe4)\x00\x00\x01\x01\x08\n\x15\xb5\xc9\xa2\x00\x80\xe6\x96aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa+aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaalaaaaa\xe1aaaaaaaaaaaaaaaaaaaaaaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa'"
39863, 0.65, 26, 1, 14, 0.005, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04335, -1.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.02691, 0.04329, 0.00005, 0.69999, 0.96257, 0.99697, 0.99911, 0.99961, 0.60691, 0.46521, 0.55630, 0.52243, 0.34578, 0.18145, 0.11385, 0.41422, 1.00000, 0.47950, 0.68309, 0.75183, 0.78927, 0.81366, 0.83117, 0.84452, 0.85513, 0.86383, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.187", "10.4.64.69",1472,"b'\x13\x0e\x03\x9f\x80\x10\x00\x064\xec\x00\x00\x01\x01\x08\n\x15\xb5\xcd~\x00\x80\xe8!s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s5\x9d%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s&\x08%s%s%s%s4\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%sds%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06(%\xd8%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%s%s%s\x06\x08%s%'"
46962, 0.775, 31, 1, 9, 0.005, 0.01832, 0.99891, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04335, -1.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.03574, 0.02921, 0.09314, 0.41588, 0.81762, 0.30622, 0.93146, 0.50759, 0.09526, 0.01180, 0.72629, 0.70939, 0.68892, 0.66342, 0.63043, 0.58538, 0.51861, 0.40466, 0.56370, 0.38648, 0.61708, 0.79625, 0.82726, 1.00000, 1.00000, 0.87278, 0.88150, 0.77943, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.187", "10.4.64.69",1472,"b'\x97\xf5\x0f\xe3\x80\x10\x00\x06bn\x00\x00\x01\x01\x08\n\x15\xb5\xd0l\x00\x80\xe9M\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa'"
55559, 0.8157894736842105, 31, 3, 7, 0.005, 0.00000, 0.00000, 0.00000, 0.00002, -1.00000, 0.59624, 0.99994, 0.99972, -1.00000, -1.00000, 0.00000, 0.00000, 1.00000, 1.00000, 1.00000, 0.02084, 0.30235, 0.78151, 0.87607, 0.57856, 0.09943, 0.03358, 0.00201, 0.75901, 0.74397, 0.72572, 0.70292, 0.75183, 0.71992, 0.57161, 0.46521, 0.34278, 1.00000, 0.85513, 0.39614, 0.63259, 0.75183, 0.63355, 0.66100, 0.68309, 0.70136, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.69", "10.4.64.187",24,"b'oX=K\x80\x10\x01\\\t\x11@\x00\x01\x01\x08\n\x00\x80\xea\xc3\x15\xb5\xd4\x14'"
68948, 0.65, 26, 1, 14, 0.005, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04335, -1.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15511, 0.00313, 0.36408, 0.13414, 0.38202, 0.89351, 0.15305, 0.96257, 0.69733, 0.67885, 0.71092, 0.68701, 0.59298, 0.54445, 0.55010, 0.87737, 0.59298, 0.59298, 1.00000, 0.71992, 0.47950, 0.53288, 0.57270, 0.60385, 0.62906, 0.65001, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.187", "10.4.64.69",1472,"b'I\xd8\xbe\x96\x80\x10\x00\x06\xc8\\\x00\x00\x01\x01\x08\n\x15\xb5\xd9\xd2\x00\x80\xed\x0f%s%sns%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x0c%s!s%s%U\x02\x08%s%s%s%s\x02\x08%sCs%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\xcb\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%3%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s%s%s%s\x02\x08%s'"
75670, 0.75, 30, 1, 10, 0.005, 0.00840, 0.00007, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04335, -1.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.01591, 0.01591, 0.20243, 0.38114, 0.60202, 0.76811, 0.73420, 0.51387, 0.87607, 0.93639, 0.64743, 0.62635, 0.60099, 0.56967, 0.52965, 0.53288, 0.52709, 0.41422, 0.47950, 1.00000, 0.58621, 0.34278, 0.42268, 0.47950, 0.52243, 0.55630, 0.58388, 0.60691, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.187", "10.4.64.69",1472,"b'\xb5Eq\x83\x80\x10\x00\x06\x98q\x00\x00\x01\x01\x0c\n\x15\xb5\xdd+\x00\x80\xeefD\x08\x03\x01\x02D\x08\x03\x01\x02D\x08\x03\x01\x02D\x08\x03\x01\x02D\x08\x03\x01\x02D\x08\x03\x01\x02D\x08\x03\x01\x02D\x08\x03q\x02D\x08\x03\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa\xaa'"
78957, 0.868421052631579, 33, 3, 5, 0.005, 0.00003, 0.00000, 0.00000, 0.00812, -1.00000, 0.89463, 0.99994, 0.99972, -1.00000, -1.00000, 0.00000, 0.00000, 1.00000, 1.00000, 1.00000, 0.28374, 0.61835, 0.37237, 0.76811, 0.86430, 0.79037, 0.50249, 0.20243, 0.64743, 0.62635, 0.60099, 0.56967, 0.52965, 0.47603, 0.39908, 0.34080, 0.47950, 0.47950, 0.41422, 0.46060, 0.53288, 0.75332, 0.83117, 0.69489, 0.67010, 0.64743, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.187", "10.4.64.69",24,"b'q:\xfd[\x80\x10\x00\x06W\x98\x00\x00\x01\x01\x08\n\x15\xb5\xde-\x00\x80\xee\xcd'"
81548, 0.7, 28, 1, 12, 0.005, 0.00000, 0.18359, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04335, -1.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.22064, 0.57121, 0.30622, 0.66150, 0.58594, 0.90363, 0.32311, 0.95024, 0.71600, 0.69854, 0.62742, 0.59775, 0.55967, 0.50833, 0.43385, 0.38648, 0.61708, 0.80259, 0.88523, 0.57615, 0.44969, 0.50499, 0.54649, 0.57910, 0.60558, 0.62763, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.187", "10.4.64.69",1472,"b'7\x1d\x9aQ\x80\x10\x00\x06A\xe3\x00\x00\x01\x01\x08\n\x15\xb5\xde\xf8\x00\x80\xef\x1e%s\x11\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%q%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x11\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08~s%s%s%s!\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s\x01\x08%s%s%s%s'"
82699, 0.675, 27, 1, 13, 0.005, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04335, -1.00000, 0.00025, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.01236, 0.17356, 0.69999, 0.84915, 0.22064, 0.82652, 0.01409, 0.85145, 0.86383, 0.92726, 0.84452, 0.74912, 0.72367, 0.68850, 0.63526, 0.54029, 0.47950, 0.47950, 0.68309, 1.00000, 0.78927, 0.81366, 0.83117, 0.69489, 0.71500, 0.73160, "wireshark/fuzz-2010-06-29-8087.pcap", "10.4.64.187", "10.4.64.69",1472,"b'\xde\xcc\x1e\x11\x80\x18\x00\x06\xd6\xf4\x00\x00\x01\x01\x08\n\x15\xb5\xdfI\x00\x80\xef?\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.N999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.\xcc999d\x04\x07%.99%sd\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999d\x04\x07%s9999d\x04\x07%.9999`\x04\x07%.9999d\x04\x07%.9999d\x04\x07%.9999'"
